both,row,col,6oct,23nov,30nov,28dec
0421,04,21,null,null,null,null
0422,04,22,null,null,null,null
0423,04,23,152.3,18.66666667,36.33333333,69.16666667
0424,04,24,141,18,38.25,79
0425,04,25,139.9166667,16,37,66
0426,04,26,131.8333333,18.83333333,37.5,66.33333333
0427,04,27,115.2833333,17.25,36,74
0428,04,28,133.2666667,19,43,80.16666667
0429,04,29,122.3,21,46.5,96.5
0430,04,30,165.2666667,45,97,163.75
0431,04,31,null,null,null,null
0432,04,32,null,null,null,null
0500,05,00,null,null,null,null
0501,05,01,null,null,null,null
0502,05,02,null,null,null,null
0503,05,03,null,null,null,null
0504,05,04,null,null,null,null
0505,05,05,null,null,null,null
0506,05,06,null,null,null,null
0507,05,07,null,null,null,null
0508,05,08,null,null,null,null
0509,05,09,null,null,null,null
0510,05,10,null,null,null,null
0511,05,11,null,null,null,null
0512,05,12,null,null,null,null
0513,05,13,null,null,null,null
0514,05,14,null,null,null,null
0515,05,15,null,null,null,null
0516,05,16,null,null,null,null
0517,05,17,null,null,null,null
0518,05,18,null,null,null,null
0519,05,19,null,null,null,null
0520,05,20,null,null,null,null
0521,05,21,null,null,null,null
0522,05,22,186.8,14.5,35.5,70.5
0523,05,23,171.3333333,15.11111111,38,65.22222222
0524,05,24,140.45,22.5,38.33333333,67.66666667
0525,05,25,129.7333333,108.1666667,37,65.33333333
0526,05,26,148.5777778,79.55555556,41.66666667,70.66666667
0527,05,27,147.3,20,37.33333333,76.66666667
0528,05,28,130.2777778,18.44444444,41.77777778,74.55555556
0529,05,29,127.05,56.66666667,42.16666667,79
0530,05,30,119.3,21.5,44.5,83
0531,05,31,110.1944444,20.66666667,48,90.44444444
0532,05,32,null,null,null,null
0600,06,00,null,null,null,null
0601,06,01,null,null,null,null
0602,06,02,null,null,null,null
0603,06,03,null,null,null,null
0604,06,04,null,null,null,null
0605,06,05,null,null,null,null
0606,06,06,null,null,null,null
0607,06,07,null,null,null,null
0608,06,08,null,null,null,null
0609,06,09,null,null,null,null
0610,06,10,null,null,null,null
0611,06,11,null,null,null,null
0612,06,12,null,null,null,null
0613,06,13,null,null,null,null
0614,06,14,null,null,null,null
0615,06,15,null,null,null,null
0616,06,16,null,null,null,null
0617,06,17,null,null,null,null
0618,06,18,null,null,null,null
0619,06,19,null,null,null,null
0620,06,20,null,null,null,null
0621,06,21,132.4666667,12,28.25,67.5
0622,06,22,188,15.75,36.75,81.25
0623,06,23,178.8666667,16,37.5,61.66666667
0624,06,24,143.5,19.75,39,66.5
0625,06,25,138.2666667,85.25,36,66
0626,06,26,146.6833333,29,57,69.66666667
0627,06,27,164.9333333,23.5,48,75
0628,06,28,125.7666667,20.16666667,42.16666667,69.66666667
0629,06,29,128.8666667,17.25,37,76.25
0630,06,30,123.8666667,17.5,40,75
0631,06,31,113.7333333,18.66666667,42.66666667,84
0632,06,32,108.2611111,27.25,49.25,99.5
0700,07,00,null,null,null,null
0701,07,01,null,null,null,null
0702,07,02,null,null,null,null
0703,07,03,null,null,null,null
0704,07,04,null,null,null,null
0705,07,05,null,null,null,null
0706,07,06,null,null,null,null
0707,07,07,null,null,null,null
0708,07,08,null,null,null,null
0709,07,09,null,null,null,null
0710,07,10,null,null,null,null
0711,07,11,null,null,null,null
0712,07,12,null,null,null,null
0713,07,13,null,null,null,null
0714,07,14,null,null,null,null
0715,07,15,null,null,null,null
0716,07,16,null,null,null,null
0717,07,17,null,null,null,null
0718,07,18,null,null,null,null
0719,07,19,null,null,null,null
0720,07,20,143.6,12.33333333,25.83333333,73.83333333
0721,07,21,171.7833333,20,35.75,58
0722,07,22,194,15,40.25,63.25
0723,07,23,166.6333333,15,38.33333333,63.16666667
0724,07,24,134.55,13.25,39.25,65
0725,07,25,135.15,17.25,39.5,70.25
0726,07,26,141.1,26,79.83333333,70.83333333
0727,07,27,138.7944444,62,77.5,72.25
0728,07,28,113.7,20,43.33333333,69.83333333
0729,07,29,118.0333333,17.75,38.5,70.75
0730,07,30,116.8857143,17.5,39,75.25
0731,07,31,108.1666667,18.33333333,45,82.33333333
0732,07,32,null,null,null,null
0800,08,00,null,null,null,null
0801,08,01,null,null,null,null
0802,08,02,null,null,null,null
0803,08,03,null,null,null,null
0804,08,04,null,null,null,null
0805,08,05,null,null,null,null
0806,08,06,null,null,null,null
0807,08,07,null,null,null,null
0808,08,08,null,null,null,null
0809,08,09,null,null,null,null
0810,08,10,null,null,null,null
0811,08,11,null,null,null,null
0812,08,12,null,null,null,null
0813,08,13,null,null,null,null
0814,08,14,null,null,null,null
0815,08,15,null,null,null,null
0816,08,16,null,null,null,null
0817,08,17,null,null,null,null
0818,08,18,null,null,null,null
