both,row,col,23nov,30nov,28dec
1302,13,02,null,null,null
1303,13,03,null,null,null
1304,13,04,null,null,null
1305,13,05,null,null,null
1306,13,06,null,null,null
1307,13,07,null,null,null
1308,13,08,null,null,null
1309,13,09,null,null,null
1310,13,10,null,null,null
1311,13,11,null,null,null
1312,13,12,null,null,null
1313,13,13,null,null,null
1314,13,14,null,null,null
1315,13,15,null,null,null
1316,13,16,2,0,12
1317,13,17,118,24,187
1318,13,18,67,42,142
1319,13,19,52,8,65
1320,13,20,120,4,114
1321,13,21,22,3,27
1322,13,22,0,0,0
1323,13,23,94,1,100
1324,13,24,13,0,15
1325,13,25,null,null,null
1326,13,26,null,null,null
1327,13,27,null,null,null
1328,13,28,null,null,null
1329,13,29,null,null,null
1330,13,30,null,null,null
1331,13,31,null,null,null
1332,13,32,null,null,null
1400,14,00,null,null,null
1401,14,01,null,null,null
1402,14,02,null,null,null
1403,14,03,null,null,null
1404,14,04,null,null,null
1405,14,05,null,null,null
1406,14,06,null,null,null
1407,14,07,null,null,null
1408,14,08,null,null,null
1409,14,09,null,null,null
1410,14,10,null,null,null
1411,14,11,null,null,null
1412,14,12,null,null,null
1413,14,13,null,null,null
1414,14,14,null,null,null
1415,14,15,24,9,36
1416,14,16,18,15,54
1417,14,17,88,17,138
1418,14,18,50,11,85
1419,14,19,67,2,99
1420,14,20,14,0,16
1421,14,21,6,0,6
1422,14,22,21,0,17
1423,14,23,null,null,null
1424,14,24,null,null,null
1425,14,25,null,null,null
1426,14,26,null,null,null
1427,14,27,null,null,null
1428,14,28,null,null,null
1429,14,29,null,null,null
1430,14,30,null,null,null
1431,14,31,null,null,null
1432,14,32,null,null,null
1500,15,00,null,null,null
1501,15,01,null,null,null
1502,15,02,null,null,null
1503,15,03,null,null,null
1504,15,04,null,null,null
1505,15,05,null,null,null
1506,15,06,null,null,null
1507,15,07,null,null,null
1508,15,08,null,null,null
1509,15,09,null,null,null
1510,15,10,null,null,null
1511,15,11,null,null,null
1512,15,12,null,null,null
1513,15,13,null,null,null
1514,15,14,20,6,25
1515,15,15,92,4,115
1516,15,16,141,7,208
1517,15,17,3,0,15
1518,15,18,12,6,23
1519,15,19,0,0,1
1520,15,20,57,5,67
1521,15,21,58,2,52
1522,15,22,0,0,0
1523,15,23,null,null,null
1524,15,24,null,null,null
1525,15,25,null,null,null
1526,15,26,null,null,null
1527,15,27,null,null,null
1528,15,28,null,null,null
1529,15,29,null,null,null
1530,15,30,null,null,null
1531,15,31,null,null,null
1532,15,32,null,null,null
1600,16,00,null,null,null
1601,16,01,null,null,null
1602,16,02,null,null,null
1603,16,03,null,null,null
1604,16,04,null,null,null
1605,16,05,null,null,null
1606,16,06,null,null,null
1607,16,07,null,null,null
1608,16,08,null,null,null
1609,16,09,null,null,null
1610,16,10,null,null,null
1611,16,11,null,null,null
1612,16,12,null,null,null
1613,16,13,9,0,21
1614,16,14,60,4,64
1615,16,15,154,51,282
1616,16,16,203,15,262
1617,16,17,35,18,84
1618,16,18,2,0,1
1619,16,19,58,2,71
1620,16,20,16,0,14
1621,16,21,0,0,0
1622,16,22,null,null,null
1623,16,23,null,null,null
1624,16,24,null,null,null
1625,16,25,null,null,null
1626,16,26,null,null,null
1627,16,27,null,null,null
1628,16,28,null,null,null
1629,16,29,null,null,null
1630,16,30,null,null,null
1631,16,31,null,null,null
1632,16,32,null,null,null
1700,17,00,null,null,null
1701,17,01,null,null,null
1702,17,02,null,null,null
1703,17,03,null,null,null
1704,17,04,null,null,null
1705,17,05,null,null,null
1706,17,06,null,null,null
1707,17,07,null,null,null
1708,17,08,null,null,null
1709,17,09,null,null,null
1710,17,10,null,null,null
1711,17,11,null,null,null
1712,17,12,12,2,19
1713,17,13,11,0,21
1714,17,14,38,2,70
1715,17,15,139,30,264
1716,17,16,113,22,207
1717,17,17,292,75,497
1718,17,18,77,1,95
1719,17,19,10,0,9
1720,17,20,null,null,null
1721,17,21,null,null,null
1722,17,22,null,null,null
1723,17,23,null,null,null
1724,17,24,null,null,null
1725,17,25,null,null,null
1726,17,26,null,null,null
1727,17,27,null,null,null
1728,17,28,null,null,null
1729,17,29,null,null,null
1730,17,30,null,null,null
1731,17,31,null,null,null
1732,17,32,null,null,null
1800,18,00,null,null,null
1801,18,01,null,null,null
1802,18,02,null,null,null
1803,18,03,null,null,null
1804,18,04,null,null,null
1805,18,05,null,null,null
1806,18,06,null,null,null
1807,18,07,null,null,null
1808,18,08,null,null,null
1809,18,09,null,null,null
1810,18,10,null,null,null
1811,18,11,null,null,null
1812,18,12,32,16,111
1813,18,13,14,2,25
1814,18,14,26,2,48
1815,18,15,44,9,111
1816,18,16,15,1,31
1817,18,17,63,7,108
1818,18,18,44,0,52
1819,18,19,0,0,0
1820,18,20,null,null,null
1821,18,21,null,null,null
1822,18,22,null,null,null
1823,18,23,null,null,null
1824,18,24,null,null,null
1825,18,25,null,null,null
1826,18,26,null,null,null
1827,18,27,null,null,null
1828,18,28,null,null,null
1829,18,29,null,null,null
1830,18,30,null,null,null
1831,18,31,null,null,null
1832,18,32,null,null,null
1900,19,00,null,null,null
1901,19,01,null,null,null
1902,19,02,null,null,null
1903,19,03,null,null,null
1904,19,04,null,null,null
1905,19,05,null,null,null
1906,19,06,null,null,null
1907,19,07,null,null,null
1908,19,08,null,null,null
1909,19,09,null,null,null
1910,19,10,null,null,null
1911,19,11,123,36,247
1912,19,12,99,14,163
1913,19,13,56,10,68
1914,19,14,49,5,73
1915,19,15,62,4,105
1916,19,16,5,0,10
1917,19,17,10,0,15
1918,19,18,0,0,0
1919,19,19,null,null,null
1920,19,20,null,null,null
1921,19,21,null,null,null
1922,19,22,null,null,null
1923,19,23,null,null,null
1924,19,24,null,null,null
1925,19,25,null,null,null
1926,19,26,null,null,null
1927,19,27,null,null,null
1928,19,28,null,null,null
1929,19,29,null,null,null
1930,19,30,null,null,null
1931,19,31,null,null,null
1932,19,32,null,null,null
2000,20,00,null,null,null
2001,20,01,null,null,null
2002,20,02,null,null,null
2003,20,03,null,null,null
2004,20,04,null,null,null
2005,20,05,null,null,null
2006,20,06,null,null,null
2007,20,07,null,null,null
2008,20,08,null,null,null
2009,20,09,null,null,null
2010,20,10,5,0,1
2011,20,11,72,6,149
2012,20,12,100,32,158
2013,20,13,40,5,73
2014,20,14,1,0,1
2015,20,15,0,0,0
2016,20,16,0,0,1
2017,20,17,null,null,null
2018,20,18,null,null,null
2019,20,19,null,null,null
2020,20,20,null,null,null
2021,20,21,null,null,null
2022,20,22,null,null,null
2023,20,23,null,null,null
2024,20,24,null,null,null
2025,20,25,null,null,null
2026,20,26,null,null,null
2027,20,27,null,null,null
2028,20,28,null,null,null
2029,20,29,null,null,null
2030,20,30,null,null,null
2031,20,31,null,null,null
2032,20,32,null,null,null
2100,21,00,null,null,null
2101,21,01,null,null,null
2102,21,02,null,null,null
2103,21,03,null,null,null
2104,21,04,null,null,null
2105,21,05,null,null,null
2106,21,06,null,null,null
2107,21,07,null,null,null
2108,21,08,null,null,null
2109,21,09,11,0,14
2110,21,10,13,14,46
2111,21,11,14,1,85
2112,21,12,19,4,91
2113,21,13,6,0,12
2114,21,14,0,0,0
2115,21,15,8,0,5
2116,21,16,0,0,0
2117,21,17,null,null,null
2118,21,18,null,null,null
2119,21,19,null,null,null
2120,21,20,null,null,null
2121,21,21,null,null,null
2122,21,22,null,null,null
2123,21,23,null,null,null
2124,21,24,null,null,null
2125,21,25,null,null,null
2126,21,26,null,null,null
2127,21,27,null,null,null
2128,21,28,null,null,null
2129,21,29,null,null,null
2130,21,30,null,null,null
2131,21,31,null,null,null
2132,21,32,null,null,null
2200,22,00,null,null,null
2201,22,01,null,null,null
2202,22,02,null,null,null
2203,22,03,null,null,null
2204,22,04,null,null,null
2205,22,05,null,null,null
2206,22,06,null,null,null
2207,22,07,null,null,null
2208,22,08,1,0,1
2209,22,09,19,3,30
2210,22,10,8,0,26
2211,22,11,3,0,24
2212,22,12,3,1,78
2213,22,13,0,0,0
2214,22,14,3,0,14
2215,22,15,0,0,0
2216,22,16,null,null,null
2217,22,17,null,null,null
2218,22,18,null,null,null
2219,22,19,null,null,null
2220,22,20,null,null,null
2221,22,21,null,null,null
2222,22,22,null,null,null
2223,22,23,null,null,null
2224,22,24,null,null,null
2225,22,25,null,null,null
2226,22,26,null,null,null
2227,22,27,null,null,null
2228,22,28,null,null,null
2229,22,29,null,null,null
2230,22,30,null,null,null
2231,22,31,null,null,null
2232,22,32,null,null,null
2300,23,00,null,null,null
2301,23,01,null,null,null
2302,23,02,null,null,null
2303,23,03,null,null,null
2304,23,04,null,null,null
2305,23,05,null,null,null
2306,23,06,null,null,null
2307,23,07,1,0,1
2308,23,08,1,0,0
2309,23,09,5,0,4
2310,23,10,28,10,105
2311,23,11,3,0,84
2312,23,12,20,5,116
2313,23,13,11,5,46
2314,23,14,1,2,2
2315,23,15,null,null,null
2316,23,16,null,null,null
2317,23,17,null,null,null
2318,23,18,null,null,null
2319,23,19,null,null,null
2320,23,20,null,null,null
2321,23,21,null,null,null
2322,23,22,null,null,null
2323,23,23,null,null,null
2324,23,24,null,null,null
2325,23,25,null,null,null
2326,23,26,null,null,null
2327,23,27,null,null,null
2328,23,28,null,null,null
2329,23,29,null,null,null
2330,23,30,null,null,null
2331,23,31,null,null,null
2332,23,32,null,null,null
2400,24,00,null,null,null
2401,24,01,null,null,null
2402,24,02,null,null,null
2403,24,03,null,null,null
2404,24,04,null,null,null
2405,24,05,null,null,null
2406,24,06,3,0,3
2407,24,07,1,0,12
2408,24,08,5,1,6
2409,24,09,3,0,48
2410,24,10,32,1,327
2411,24,11,18,0,116
2412,24,12,2,1,40
2413,24,13,18,0,47
2414,24,14,0,0,0
2415,24,15,null,null,null
2416,24,16,null,null,null
2417,24,17,null,null,null
2418,24,18,null,null,null
2419,24,19,null,null,null
2420,24,20,null,null,null
2421,24,21,null,null,null
2422,24,22,null,null,null
2423,24,23,null,null,null
2424,24,24,null,null,null
2425,24,25,null,null,null
2426,24,26,null,null,null
2427,24,27,null,null,null
2428,24,28,null,null,null
2429,24,29,null,null,null
2430,24,30,null,null,null
2431,24,31,null,null,null
2432,24,32,null,null,null
2500,25,00,null,null,null
2501,25,01,null,null,null
2502,25,02,null,null,null
2503,25,03,null,null,null
2504,25,04,null,null,null
2505,25,05,6,0,6
2506,25,06,7,0,1
2507,25,07,13,0,27
2508,25,08,0,1,36
2509,25,09,35,8,217
2510,25,10,31,1,338
2511,25,11,25,17,101
2512,25,12,2,0,1
2513,25,13,5,0,9
2514,25,14,null,null,null
2515,25,15,null,null,null
2516,25,16,null,null,null
2517,25,17,null,null,null
2518,25,18,null,null,null
2519,25,19,null,null,null
2520,25,20,null,null,null
2521,25,21,null,null,null
2522,25,22,null,null,null
2523,25,23,null,null,null
2524,25,24,null,null,null
2525,25,25,null,null,null
2526,25,26,null,null,null
2527,25,27,null,null,null
2528,25,28,null,null,null
2529,25,29,null,null,null
2530,25,30,null,null,null
2531,25,31,null,null,null
2532,25,32,null,null,null
2600,26,00,null,null,null
2601,26,01,null,null,null
2602,26,02,null,null,null
2603,26,03,null,null,null
2604,26,04,8,0,7
2605,26,05,8,14,46
2606,26,06,89,7,104
2607,26,07,85,12,154
2608,26,08,68,8,305
2609,26,09,18,12,316
2610,26,10,7,7,355
2611,26,11,6,12,150
2612,26,12,1,0,10
2613,26,13,0,0,0
2614,26,14,null,null,null
2615,26,15,null,null,null
2616,26,16,null,null,null
2617,26,17,null,null,null
2618,26,18,null,null,null
2619,26,19,null,null,null
2620,26,20,null,null,null
2621,26,21,null,null,null
2622,26,22,null,null,null
2623,26,23,null,null,null
2624,26,24,null,null,null
2625,26,25,null,null,null
2626,26,26,null,null,null
2627,26,27,null,null,null
2628,26,28,null,null,null
2629,26,29,null,null,null
2630,26,30,null,null,null
2631,26,31,null,null,null
2632,26,32,null,null,null
2700,27,00,null,null,null
2701,27,01,null,null,null
2702,27,02,null,null,null
2703,27,03,0,0,1
2704,27,04,0,0,2
2705,27,05,11,0,14
2706,27,06,120,19,218
2707,27,07,90,6,197
2708,27,08,174,27,604
2709,27,09,161,41,563
2710,27,10,24,1,352
2711,27,11,43,19,277
2712,27,12,10,1,49
2713,27,13,11,0,11
2714,27,14,null,null,null
2715,27,15,null,null,null
2716,27,16,null,null,null
2717,27,17,null,null,null
2718,27,18,null,null,null
2719,27,19,null,null,null
2720,27,20,null,null,null
2721,27,21,null,null,null
2722,27,22,null,null,null
2723,27,23,null,null,null
2724,27,24,null,null,null
2725,27,25,null,null,null
2726,27,26,null,null,null
2727,27,27,null,null,null
2728,27,28,null,null,null
2729,27,29,null,null,null
2730,27,30,null,null,null
2731,27,31,null,null,null
2732,27,32,null,null,null
2800,28,00,null,null,null
2801,28,01,null,null,null
2802,28,02,2,0,11
2803,28,03,0,0,0
2804,28,04,0,0,0
2805,28,05,0,0,3
2806,28,06,43,0,58
2807,28,07,47,17,228
2808,28,08,74,7,501
2809,28,09,155,5,550
2810,28,10,93,26,478
2811,28,11,164,6,344
2812,28,12,173,5,298
2813,28,13,11,0,31
2814,28,14,null,null,null
2815,28,15,null,null,null
2816,28,16,null,null,null
2817,28,17,null,null,null
2818,28,18,null,null,null
2819,28,19,null,null,null
2820,28,20,null,null,null
2821,28,21,null,null,null
2822,28,22,null,null,null
2823,28,23,null,null,null
2824,28,24,null,null,null
2825,28,25,null,null,null
2826,28,26,null,null,null
2827,28,27,null,null,null
2828,28,28,null,null,null
2829,28,29,null,null,null
2830,28,30,null,null,null
2831,28,31,null,null,null
2832,28,32,null,null,null
2900,29,00,null,null,null
2901,29,01,1,8,21
2902,29,02,3,0,0
2903,29,03,1,0,0
2904,29,04,0,0,0
2905,29,05,5,1,4
2906,29,06,37,10,51
2907,29,07,53,6,136
2908,29,08,42,6,183
2909,29,09,116,12,388
2910,29,10,39,7,256
2911,29,11,55,0,90
2912,29,12,142,7,186
2913,29,13,80,8,106
2914,29,14,null,null,null
2915,29,15,null,null,null
2916,29,16,null,null,null
2917,29,17,null,null,null
2918,29,18,null,null,null
2919,29,19,null,null,null
2920,29,20,null,null,null
2921,29,21,null,null,null
2922,29,22,null,null,null
2923,29,23,null,null,null
2924,29,24,null,null,null
2925,29,25,null,null,null
2926,29,26,null,null,null
2927,29,27,null,null,null
2928,29,28,null,null,null
2929,29,29,null,null,null
2930,29,30,null,null,null
2931,29,31,null,null,null
2932,29,32,null,null,null
3000,30,00,0,0,1
3001,30,01,8,4,36
3002,30,02,1,0,9
3003,30,03,0,0,0
3004,30,04,1,0,0
3005,30,05,0,0,8
3006,30,06,40,1,38
3007,30,07,116,5,126
3008,30,08,27,9,46
3009,30,09,20,2,61
3010,30,10,35,1,40
3011,30,11,135,20,202
3012,30,12,269,18,366
3013,30,13,3,0,0
3014,30,14,0,0,0
3015,30,15,null,null,null
3016,30,16,null,null,null
3017,30,17,null,null,null
3018,30,18,null,null,null
3019,30,19,null,null,null
3020,30,20,null,null,null
3021,30,21,null,null,null
3022,30,22,null,null,null
3023,30,23,null,null,null
3024,30,24,null,null,null
3025,30,25,null,null,null
3026,30,26,null,null,null
3027,30,27,null,null,null
3028,30,28,null,null,null
3029,30,29,null,null,null
3030,30,30,null,null,null
3031,30,31,null,null,null
3032,30,32,null,null,null
3100,31,00,null,null,null
3101,31,01,16,5,61
3102,31,02,24,8,72
3103,31,03,4,0,16
3104,31,04,14,6,29
3105,31,05,2,0,0
3106,31,06,1,1,1
3107,31,07,17,3,27
3108,31,08,6,3,19
3109,31,09,6,1,2
3110,31,10,42,1,37
3111,31,11,41,1,40
3112,31,12,9,0,9
3113,31,13,234,13,259
3114,31,14,35,0,35
3115,31,15,null,null,null
3116,31,16,null,null,null
3117,31,17,null,null,null
3118,31,18,null,null,null
3119,31,19,null,null,null
3120,31,20,null,null,null
3121,31,21,null,null,null
3122,31,22,null,null,null
3123,31,23,null,null,null
3124,31,24,null,null,null
3125,31,25,null,null,null
3126,31,26,null,null,null
3127,31,27,null,null,null
3128,31,28,null,null,null
3129,31,29,null,null,null
3130,31,30,null,null,null
3131,31,31,null,null,null
3132,31,32,null,null,null
3200,32,00,null,null,null
3201,32,01,22,0,30
3202,32,02,80,9,112
3203,32,03,48,14,77
3204,32,04,47,1,34
3205,32,05,1,0,7
3206,32,06,8,0,6
3207,32,07,6,0,1
3208,32,08,10,2,24
3209,32,09,24,3,67
3210,32,10,2,0,1
3211,32,11,68,1,68
3212,32,12,56,2,78
3213,32,13,270,14,335
3214,32,14,7,0,9
3215,32,15,null,null,null
3216,32,16,null,null,null
3217,32,17,null,null,null
